"from_user_name","to_user_name","in_reply_to_status_id","location"
"An1taGarc1a","confirmadonet",1.33849577816412E+018,"Ecuador"
"Estefan9Her","UNESECUADOR",1.33848651297608E+018,"Manabi, Ecuador"
"MoralesGMariana","lahistoriaec",1.33852575343728E+018,"Ecuador"
"DavidZchez","EcuLibertario",1.33852308668202E+018,"Ecuador"
"Barbara7264","compasecuador1",1.33848905766871E+018,"Quito, Ecuador"
"Mor1ri","manelgarciabcn",1.3381536403145E+018,"Machala, Ecuador"
"ElianitaM_","esantos1957",1.3385257667416E+018,"Ecuador"
"Jara_Marcelinda","AXEA65",1.33853090705822E+018,"Ecuador"
"MaraElerm","cesaraguirre6",1.33822284869188E+018,"Ecuador"
"fdecovilla","virgiliohernand",1.33843898717898E+018,"Manabi, Ecuador"
"MoralesGMariana","lahistoriaec",1.33852575343728E+018,"Ecuador"
"F3rnandoJos3_","Gonzalez1234HEN",1.33853418298586E+018,"Ecuador"
"joseperezdani","SaquipayRolando",1.33852788558233E+018,"Machala, Ecuador"
"CesarHurtadoL_2","CesarHurtadoL_2",1.33853879162837E+018,"Guayaquil, Ecuador"
"VirginiaVsquez9","ValentinaRodrz_",1.33852264688825E+018,"Ecuador"
"AnitaAlvarad2","batriciobarah1",1.33852854269978E+018,"Ecuador"
"mariave91","RicardoPatinoEC",1.33747128904531E+018,"Ecuador"
"DianaAlvad","Mariespina19",1.33854930156017E+018,"Quito, Ecuador☀️"
"carlaMar26","AnitaAlvarad2",1.33854827140552E+018,"Ecuador"
"MariaMaza1997","rabascallcarlos",1.33847468885981E+018,"Ecuador"
"AnitaAlvarad2","FerCaceresC",1.33855506144267E+018,"Ecuador"
"AnitaAlvarad2","FerCaceresC",1.33855506144267E+018,"Ecuador"
"salazarnicolee1","YoSoyLaAssange",1.33828904384765E+018,
"Blanc4Fernandez","MariaMaza1997",1.33855622898171E+018,"Ecuador"
"Mariaa_M_83","pichinchauniver",1.33855938439005E+018,"Ecuador"
"Pau_Garcia91","PrimeraPlanaECU",1.33855426543088E+018,"Ecuador"
"AlexanderVi59","VeronicaDiazx",1.33855911789246E+018,"Ecuador♥"
"Andrea_M130","MashiRafael",1.33852999431901E+018,"Ecuador"
"EmiliaGo8","UnCafeConJJ",1.33847063272457E+018,"Manabi, Ecuador"
"Blanc4Fernandez","AnitaAlvarad2",1.33855868936042E+018,"Ecuador"
"MilagritosM_","josemsalem",1.33855026502952E+018,"Ecuador"
"Claudia22fa","SaquipayRolando",1.33852788558233E+018,"Manabi, Ecuador"
"MariaPaolaL0pez","AndreaZambranot",1.33856381480823E+018,"Ecuador"
"OsmelMaita","EnClavePolitika",1.33853461597638E+018,"Ecuador"
"marialva1090","rcnradio",1.338562173489E+018,"Ecuador"
"MartinezFer917","GC_Ecuador",1.33668068049177E+018,"Ecuador"
"JuliooAlvezz","COLECTIVOREVOL4",1.33856422783821E+018,"Ecuador"
